SEASON,WINNER,POS,TEAM,RUNNER-UP,POS,TEAM,FINALIST,POS,TEAM
2023-24,Connor Bedard,C,Chicago Blackhawks,Brock Faber,D,Minnesota Wild,Luke Hughes,D,New Jersey Devils
2022-23,Matty Beniers,C,Seattle Kraken,Stuart Skinner,G,Edmonton Oilers,Owen Power,D,Buffalo Sabres
2021-22,Moritz Seider,D,Detroit Red Wings,Trevor Zegras,C,Anaheim Ducks,Michael Bunting,L,Toronto Maple Leafs
2020-21,Kirill Kaprizov,L,Minnesota Wild,Jason Robertson,L,Dallas Stars,Alex Nedeljkovic,G,Carolina Hurricanes
2019-20,Cale Makar,D,Colorado Avalanche,Quinn Hughes,D,Vancouver Canucks,Dominik Kubalik,L,Chicago Blackhawks
2018-19,Elias Pettersson,C,Vancouver Canucks,Jordan Binnington,G,St. Louis Blues,Rasmus Dahlin,D,Buffalo Sabres
2017-18,Mathew Barzal,C,New York Islanders,Brock Boeser,R,Vancouver Canucks,Clayton Keller,R,Arizona Coyotes
2016-17,Auston Matthews,C,Toronto Maple Leafs,Patrik Laine,L,Winnipeg Jets,Zach Werenski,D,Columbus Blue Jackets
2015-16,Artemi Panarin,L,Chicago Blackhawks,Shayne Gostisbehere,D,Philadelphia Flyers,Connor McDavid,C,Edmonton Oilers
2014-15,Aaron Ekblad,D,Florida Panthers,Mark Stone,R,Ottawa Senators,Johnny Gaudreau,L,Calgary Flames
2013-14,Nathan MacKinnon,C,Colorado Avalanche,Ondrej Palat,L,Tampa Bay Lightning,Tyler Johnson,C,Tampa Bay Lightning
2012-13,Jonathan Huberdeau,L,Florida Panthers,Brendan Gallagher,R,Montreal Canadiens,Brandon Saad,L,Chicago Blackhawks
2011-12,Gabriel Landeskog,L,Colorado Avalanche,Ryan Nugent-Hopkins,C,Edmonton Oilers,Adam Henrique,C,New Jersey Devils
2010-11,Jeff Skinner,L,Carolina Hurricanes,Logan Couture,C,San Jose Sharks,Michael Grabner,L,New York Islanders
2009-10,Tyler Myers,D,Buffalo Sabres,Jimmy Howard,G,Detroit Red Wings,Matt Duchene,C,Colorado Avalanche
2008-09,Steve Mason,G,Columbus Blue Jackets,Bobby Ryan,R,Anaheim Ducks,Kris Versteeg,R,Chicago Blackhawks
2007-08,Patrick Kane,R,Chicago Blackhawks,Nicklas Backstrom,C,Washington Capitals,Jonathan Toews,C,Chicago Blackhawks
2006-07,Evgeni Malkin,C,Pittsburgh Penguins,Paul Stastny,C,Colorado Avalanche,Jordan Staal,C,Pittsburgh Penguins
2005-06,Alex Ovechkin,L,Washington Capitals,Sidney Crosby,C,Pittsburgh Penguins,Dion Phaneuf,D,Calgary Flames
2003-04,Andrew Raycroft,G,Boston Bruins,Michael Ryder,R,Montreal Canadiens,Trent Hunter,R,New York Islanders
2002-03,Barret Jackman,D,St. Louis Blues,Henrik Zetterberg,C,Detroit Red Wings,Rick Nash,L,Columbus Blue Jackets
2001-02,Dany Heatley,L,Atlanta Thrashers,Ilya Kovalchuk,L,Atlanta Thrashers,Kristian Huselius,L,Florida Panthers
2000-01,Evgeni Nabokov,G,San Jose Sharks,Brad Richards,C,Tampa Bay Lightning,Martin Havlat,R,Ottawa Senators
1999-00,Scott Gomez,C,New Jersey Devils,Brad Stuart,D,San Jose Sharks,Mike York,L,New York Rangers
1998-99,Chris Drury,C,Colorado Avalanche,Marian Hossa,R,Ottawa Senators,Milan Hejduk,R,Colorado Avalanche
1997-98,Sergei Samsonov,L,Boston Bruins,Mattias Ohlund,D,Vancouver Canucks,Patrik Elias,C,New Jersey Devils
1996-97,Bryan Berard,D,New York Islanders,Jarome Iginla,R,Calgary Flames,Jim Campbell,R,St. Louis Blues
1995-96,Daniel Alfredsson,R,Ottawa Senators,Eric Daze,L,Chicago Blackhawks,Ed Jovanovski,D,Florida Panthers
1994-95,Peter Forsberg,C,Quebec Nordiques,Jim Carey,G,Washington Capitals,Paul Kariya,L,Anaheim Ducks
1993-94,Martin Brodeur,G,New Jersey Devils,Jason Arnott,C,Edmonton Oilers,Mikael Renberg,R,Philadelphia Flyers
1992-93,Teemu Selanne,R,Winnipeg Jets (1979),Joe Juneau,C,Boston Bruins,Felix Potvin,G,Toronto Maple Leafs
1991-92,Pavel Bure,R,Vancouver Canucks,Nicklas Lidstrom,D,Detroit Red Wings,Tony Amonte,R,New York Rangers
1990-91,Ed Belfour,G,Chicago Blackhawks,Sergei Fedorov,C,Detroit Red Wings,Ken Hodge Jr.,C,Boston Bruins
1989-90,Sergei Makarov,R,Calgary Flames,Mike Modano,C,Minnesota North Stars,Jeremy Roenick,C,Chicago Blackhawks
1988-89,Brian Leetch,D,New York Rangers,Trevor Linden,C,Vancouver Canucks,Tony Granato,R,New York Rangers
1987-88,Joe Nieuwendyk,C,Calgary Flames,Ray Sheppard,R,Buffalo Sabres,Darren Pang,G,Chicago Blackhawks
1986-87,Luc Robitaille,L,Los Angeles Kings,Ron Hextall,G,Philadelphia Flyers,Jimmy Carson,C,Los Angeles Kings
1985-86,Gary Suter,D,Calgary Flames,Wendel Clark,L,Toronto Maple Leafs,Kjell Dahlin,C,Montreal Canadiens
1984-85,Mario Lemieux,C,Pittsburgh Penguins,Chris Chelios,D,Montreal Canadiens,Steve Penney,G,Montreal Canadiens
1983-84,Tom Barrasso,G,Buffalo Sabres,Steve Yzerman,C,Detroit Red Wings,Sylvain Turgeon,L,Hartford Whalers
1982-83,Steve Larmer,R,Chicago Blackhawks,Phil Housley,D,Buffalo Sabres,Scott Stevens,D,Washington Capitals
1981-82,Dale Hawerchuk,C,Winnipeg Jets (1979),Barry Pederson,C,Boston Bruins,Grant Fuhr,G,Edmonton Oilers
1980-81,Peter Stastny,C,Quebec Nordiques,Larry Murphy,D,Los Angeles Kings,Don Beaupre,G,Minnesota North Stars
1979-80,Ray Bourque,D,Boston Bruins,Mike Foligno,R,Detroit Red Wings,Pete Peeters,G,Philadelphia Flyers
1978-79,Bobby Smith,C,Minnesota North Stars,Ryan Walter,C,Washington Capitals,Wayne Babych,R,St. Louis Blues
1977-78,Mike Bossy,R,New York Islanders,Barry Beck,D,Colorado Rockies,Don Edwards,G,Buffalo Sabres
1976-77,Willi Plett,R,Atlanta Flames,Don Murdoch,R,New York Rangers,Roland Eriksson,C,Minnesota North Stars
