SEASON,WINNER,CAPTAIN(S),COACH,RUNNER-UP,CAPTAIN(S),COACH
2023-24,Florida Panthers,Aleksander Barkov,Paul Maurice,Edmonton Oilers,Connor McDavid,Kris Knoblauch
2022-23,Vegas Golden Knights,Mark Stone,Bruce Cassidy,Florida Panthers,Aleksander Barkov,Paul Maurice
2021-22,Colorado Avalanche,Gabriel Landeskog,Jared Bednar,Tampa Bay Lightning,Steven Stamkos,Jon Cooper
2020-21,Tampa Bay Lightning,Steven Stamkos,Jon Cooper,Montréal Canadiens,Shea Weber,Dominique Ducharme
2019-20,Tampa Bay Lightning,Steven Stamkos,Jon Cooper,Dallas Stars,Jamie Benn,Rick Bowness
2018-19,St. Louis Blues,Alex Pietrangelo,Craig Berube,Boston Bruins,Zdeno Chara,Bruce Cassidy
2017-18,Washington Capitals,Alex Ovechkin,Barry Trotz,Vegas Golden Knights,No Captain,Gerard Gallant
2016-17,Pittsburgh Penguins,Sidney Crosby,Mike Sullivan,Nashville Predators,Mike Fisher,Peter Laviolette
2015-16,Pittsburgh Penguins,Sidney Crosby,Mike Sullivan,San Jose Sharks,Joe Pavelski,Peter DeBoer
2014-15,Chicago Blackhawks,Jonathan Toews,Joel Quenneville,Tampa Bay Lightning,Steven Stamkos,Jon Cooper
2013-14,Los Angeles Kings,Dustin Brown,Darryl Sutter,New York Rangers,No Captain,Alain Vigneault
2012-13,Chicago Blackhawks,Jonathan Toews,Joel Quenneville,Boston Bruins,Zdeno Chara,Claude Julien
2011-12,Los Angeles Kings,Dustin Brown,Darryl Sutter,New Jersey Devils,Zach Parise,Peter DeBoer
2010-11,Boston Bruins,Zdeno Chara,Claude Julien,Vancouver Canucks,Henrik Sedin,Alain Vigneault
2009-10,Chicago Blackhawks,Jonathan Toews,Joel Quenneville,Philadelphia Flyers,Mike Richards,Peter Laviolette
2008-09,Pittsburgh Penguins,Sidney Crosby,Dan Bylsma,Detroit Red Wings,Nicklas Lidstrom,Mike Babcock
2007-08,Detroit Red Wings,Nicklas Lidstrom,Mike Babcock,Pittsburgh Penguins,Sidney Crosby,Michel Therrien
2006-07,Anaheim Ducks,Scott Niedermayer,Randy Carlyle,Ottawa Senators,Daniel Alfredsson,Bryan Murray
